intrebare,intentie,preparat,confidenta_sugerata,intrebare_curatata
E complicată pizza?,dificultate,pizza,0.94,e complicata pizza
Dificultate preparare pizza,dificultate,pizza,0.93,dificultate preparare pizza
E ușor de făcut pizza?,dificultate,pizza,0.92,e usor de facut pizza
Poate face oricine pizza?,dificultate,pizza,0.91,poate face oricine pizza
Cât de greu e să faci clătite?,dificultate,clatite,0.90,cat de greu e sa faci clatite
E complicat să faci clătite?,dificultate,clatite,0.89,e complicat sa faci clatite
Dificultate preparare clătite,dificultate,clatite,0.88,dificultate preparare clatite
E ușor de făcut clătite?,dificultate,clatite,0.87,e usor de facut clatite
Poate face oricine clătite?,dificultate,clatite,0.86,poate face oricine clatite
Cât de greu e să faci sarmale?,dificultate,sarmale,0.95,cat de greu e sa faci sarmale
E complicat să faci sarmale?,dificultate,sarmale,0.94,e complicat sa faci sarmale
Dificultate preparare sarmale,dificultate,sarmale,0.93,dificultate preparare sarmale
E ușor de făcut sarmale?,dificultate,sarmale,0.92,e usor de facut sarmale
Poate face oricine sarmale?,dificultate,sarmale,0.91,poate face oricine sarmale
Cât de greu e să faci cozonac?,dificultate,cozonac,0.90,cat de greu e sa faci cozonac
E complicat să faci cozonac?,dificultate,cozonac,0.89,e complicat sa faci cozonac
Dificultate preparare cozonac,dificultate,cozonac,0.88,dificultate preparare cozonac
E ușor de făcut cozonac?,dificultate,cozonac,0.87,e usor de facut cozonac
Poate face oricine cozonac?,dificultate,cozonac,0.86,poate face oricine cozonac
Cât de greu e să faci mămăligă?,dificultate,mamaliga,0.95,cat de greu e sa faci mamaliga
E complicată mămăliga?,dificultate,mamaliga,0.94,e complicata mamaliga
Dificultate preparare mămăligă,dificultate,mamaliga,0.93,dificultate preparare mamaliga
E ușor de făcut mămăligă?,dificultate,mamaliga,0.92,e usor de facut mamaliga
Poate face oricine mămăligă?,dificultate,mamaliga,0.91,poate face oricine mamaliga
Cât de greu e să faci șnițel?,dificultate,snitel,0.90,cat de greu e sa faci snitel
E complicat șnițelul?,dificultate,snitel,0.89,e complicat snitelul
Dificultate preparare șnițel,dificultate,snitel,0.88,dificultate preparare snitel
E ușor de făcut șnițel?,dificultate,snitel,0.87,e usor de facut snitel
Poate face oricine șnițel?,dificultate,snitel,0.86,poate face oricine snitel
Cât de greu e să faci paste?,dificultate,paste,0.95,cat de greu e sa faci paste
E complicat să faci paste?,dificultate,paste,0.94,e complicat sa faci paste
Dificultate preparare paste,dificultate,paste,0.93,dificultate preparare paste
E ușor de făcut paste?,dificultate,paste,0.92,e usor de facut paste
Poate face oricine paste?,dificultate,paste,0.91,poate face oricine paste
Cât de greu e să faci prăjitură?,dificultate,prajitura,0.90,cat de greu e sa faci prajitura
E complicată prăjitura?,dificultate,prajitura,0.89,e complicata prajitura
Dificultate preparare prăjitură,dificultate,prajitura,0.88,dificultate preparare prajitura
E ușor de făcut prăjitură?,dificultate,prajitura,0.87,e usor de facut prajitura
Poate face oricine prăjitură?,dificultate,prajitura,0.86,poate face oricine prajitura
Cât de greu e să faci plăcintă?,dificultate,placinta,0.95,cat de greu e sa faci placinta
E complicată plăcinta?,dificultate,placinta,0.94,e complicata placinta
Dificultate preparare plăcintă,dificultate,placinta,0.93,dificultate preparare placinta
E ușor de făcut plăcintă?,dificultate,placinta,0.92,e usor de facut placinta
Poate face oricine plăcintă?,dificultate,placinta,0.91,poate face oricine placinta
Cât de greu e să faci mici?,dificultate,mici,0.90,cat de greu e sa faci mici
E complicat să faci mici?,dificultate,mici,0.89,e complicat sa faci mici
Dificultate preparare mici,dificultate,mici,0.88,dificultate preparare mici
E ușor de făcut mici?,dificultate,mici,0.87,e usor de facut mici
Poate face oricine mici?,dificultate,mici,0.86,poate face oricine mici
Salut,salut,general,0.99,salut
Bună,salut,general,0.99,buna
Bună ziua,salut,general,0.99,buna ziua
Hey,salut,general,0.98,hey
Salutare,salut,general,0.98,salutare
Bună dimineața,salut,general,0.97,buna dimineata
Bună seara,salut,general,0.97,buna seara
Ceau,salut,general,0.96,ceau
Servus,salut,general,0.96,servus
Noroc,salut,general,0.95,noroc
Bună să fie,salut,general,0.95,buna sa fie
"Bună ziua, ce faceți?",salut,general,0.94,buna ziua ce faceti
"Salut, ești acolo?",salut,general,0.94,salut esti acolo
"Hei, cum merge treaba?",salut,general,0.93,hei cum merge treaba
"Bună, am o întrebare",salut,general,0.93,buna am o intrebare
"Salutare, mă poți ajuta?",salut,general,0.92,salutare ma poti ajuta
"Bună, vreau să fac o rețetă",salut,general,0.92,buna vreau sa fac o reteta
"Bună ziua, aș vrea să întreb ceva",salut,general,0.91,buna ziua as vrea sa intreb ceva
"Salut, ai rețete bune?",salut,general,0.91,salut ai retete bune
"Hei, ce mai faci?",salut,general,0.90,hei ce mai faci
Mulțumesc,multumesc,general,0.99,multumesc
Mersi,multumesc,general,0.99,mersi
Merci,multumesc,general,0.98,merci
Thanks,multumesc,general,0.98,thanks
Mulțam,multumesc,general,0.97,multam
Mersi frumos,multumesc,general,0.97,mersi frumos
Mulțumesc mult,multumesc,general,0.96,multumesc mult
Îți mulțumesc,multumesc,general,0.96,iti multumesc
Mulțumesc pentru ajutor,multumesc,general,0.95,multumesc pentru ajutor
Apreciez,multumesc,general,0.95,apreciez
Mersi de ajutor,multumesc,general,0.94,mersi de ajutor
Mulțumesc de rețetă,multumesc,general,0.94,multumesc de reteta
Îți mulțumesc mult,multumesc,general,0.93,iti multumesc mult
Mersi mult de tot,multumesc,general,0.93,mersi mult de tot
"Mulțumesc, mi-ai fost de ajutor",multumesc,general,0.92,multumesc miai fost de ajutor
Apreciez ajutorul tău,multumesc,general,0.92,apreciez ajutorul tau
"Mersi, ești cel mai bun",multumesc,general,0.91,mersi esti cel mai bun
"Mulțumesc, m-ai salvat",multumesc,general,0.91,multumesc mai salvat
Îți sunt recunoscător,multumesc,general,0.90,iti sunt recunoscator
Mulțumesc din suflet,multumesc,general,0.90,multumesc din suflet
La revedere,la_revedere,general,0.99,la revedere
Pa,la_revedere,general,0.99,pa
Bye,la_revedere,general,0.98,bye
Ne auzim,la_revedere,general,0.98,ne auzim
Pe curând,la_revedere,general,0.97,pe curand
Pa pa,la_revedere,general,0.97,pa pa
"Salut, ne vedem",la_revedere,general,0.96,salut ne vedem
Închid,la_revedere,general,0.96,inchid
Trebuie să plec,la_revedere,general,0.95,trebuie sa plec
Ne mai auzim,la_revedere,general,0.95,ne mai auzim
"Pa, mulțumesc",la_revedere,general,0.94,pa multumesc
La revedere și mulțumesc,la_revedere,general,0.94,la revedere si multumesc
Bye bye,la_revedere,general,0.93,bye bye
Ne vedem data viitoare,la_revedere,general,0.93,ne vedem data viitoare
"Pa, m-ai ajutat mult",la_revedere,general,0.92,pa mai ajutat mult
Închid conversația,la_revedere,general,0.92,inchid conversatia
Ne auzim mai târziu,la_revedere,general,0.91,ne auzim mai tarziu
"Pa, succes în continuare",la_revedere,general,0.91,pa succes in continuare
La revedere și numai bine,la_revedere,general,0.90,la revedere si numai bine
"Bye, mulțumesc de ajutor",la_revedere,general,0.90,bye multumesc de ajutor
Nu știu ce să gătesc azi,general,intrebare,0.70,nu stiu ce sa gatesc azi
Ce rețetă să aleg?,general,intrebare,0.69,ce reteta sa aleg
Ce să fac de mâncare?,general,intrebare,0.68,ce sa fac de mancare
"Am poftă de ceva bun, ce să fac?",general,intrebare,0.67,am pofta de ceva bun ce sa fac
Ce mâncare e ușor de făcut?,general,intrebare,0.66,ce mancare e usor de facut
Cum fac mâncarea mai gustoasă?,general,sfat,0.75,cum fac mancarea mai gustoasa
Cum păstrez mâncarea mai mult?,general,sfat,0.74,cum pastrez mancarea mai mult
Ce condimente se potrivesc cu carnea de pui?,general,sfat,0.73,ce condimente se potrivesc cu carnea de pui
Cum știu când e gata carnea?,general,sfat,0.72,cum stiu cand e gata carnea
Cum să tai legumele frumos?,general,sfat,0.71,cum sa tai legumele frumos
